,time,viewers,str_on_field_1,str_on_field_2,disposal_1,disposal_2,tactic_1,tactic_2,pressing_1,pressing_2,strategy_1,strategy_2,player_1,player_2,blows_1,blows_2,id_match,score_player_1,score_player_2
0,29.12.2019 06:17,,107.7,170.8,3-3-4,3-5-2,суперзащитная (1%),суперзащитная (8%),нет,нет,игра в пас,нормальная,ФК ПРОВИЗОР,shmelenko,дальние,смешанные,952021992,0,1
1,29.12.2019 06:16,Зрители: 15000,138.4,141.8,3-5-2,3-4-3,защитная (25%),суперзащитная (5%),нет,нет,игра в пас,дальние удары,Hennessy,kazar,дальние,дальние,952021993,0,1
2,29.12.2019 06:16,,63.1,150.8,4-3-3,4-2-4,суперзащитная (4%),суперзащитная (5%),нет,нет,дальние удары,дальние удары,Tucha1979,Svet_lana,дальние,дальние,952021995,0,1
3,29.12.2019 06:15,,195.5,107.6,2-5-3,4-3-3,нормальная (46%),суперзащитная (0%),нет,нет,игра в пас,нормальная,Нижнее Раменье,Хороший Человек,дальние,дальние,952021996,0,0
4,29.12.2019 06:16,,130.2,102.4,3-5-2,2-5-3,защитная (23%),суперзащитная (1%),нет,нет,техничная игра,техничная игра,vitali011271,FC LosAngelesStars,дальние,дальние,952021999,0,3
5,29.12.2019 06:18,Зрители: 0,229.7,155.1,4-4-2,3-4-3,нормальная (50%),защитная (30%),,,нормальная,нормальная,Спарринг-Бот,Rooney 10,смешанные,дальние,952022000,2,3
6,29.12.2019 06:17,Зрители: 0,229.7,84.4,4-4-2,4-4-2,нормальная (50%),суперзащитная (5%),,,нормальная,игра в пас,Спарринг-Бот,fan 22,смешанные,короткие,952022001,4,1
7,29.12.2019 06:15,,152.2,118.2,3-5-2,1-7-2,суперзащитная (9%),нормальная (42%),нет,нет,дальние удары,техничная игра,snaike_08,Спартак Малаховка,дальние,дальние,952022003,0,1
8,29.12.2019 06:15,Зрители: 0,229.7,165.1,4-4-2,4-3-3,нормальная (50%),суперзащитная (13%),,,нормальная,дальние удары,Спарринг-Бот,Газа,смешанные,дальние,952022004,1,3
9,29.12.2019 06:18,Зрители: 0,229.7,186.1,4-4-2,3-5-2,нормальная (50%),защитная (31%),,,нормальная,дальние удары,Спарринг-Бот,султике,смешанные,дальние,952022005,0,2
