,time,viewers,str_on_field_1,str_on_field_2,disposal_1,disposal_2,tactic_1,tactic_2,pressing_1,pressing_2,strategy_1,strategy_2,player_1,player_2,blows_1,blows_2,id_match,score_player_1,score_player_2
0,29.12.2019 03:01,Зрители: 0,229.7,244.5,4-4-2,3-4-3,нормальная (50%),нормальная (48%),,,нормальная,дальние удары,Спарринг-Бот,dimondedk,смешанные,дальние,952008467,0,1
1,29.12.2019 03:01,Зрители: 0,273.2,229.7,3-3-4,4-4-2,суперзащитная (5%),нормальная (50%),,,нормальная,нормальная,Команда пьет,Спарринг-Бот,дальние,смешанные,952008468,4,2
2,29.12.2019 03:01,Зрители: 0,229.7,141.2,4-4-2,3-4-3,нормальная (50%),суперзащитная (6%),,,нормальная,техничная игра,Спарринг-Бот,DubChelsea,смешанные,дальние,952008469,0,2
3,29.12.2019 03:01,Зрители: 0,185,229.7,3-4-3,4-4-2,нормальная (51%),нормальная (50%),,,игра в пас,нормальная,Dinamo-sava,Спарринг-Бот,дальние,смешанные,952008470,2,1
4,29.12.2019 03:02,Зрители: 0,229.7,293.2,4-4-2,2-5-3,нормальная (50%),защитная (21%),,,нормальная,техничная игра,Спарринг-Бот,СедойУрал,смешанные,смешанные,952008471,0,3
5,29.12.2019 03:03,,103.6,137.5,3-3-4,4-3-3,защитная (25%),нормальная (41%),нет,нет,нормальная,техничная игра,PFC KUBAN,КАРАТЕЛЬ ПОЖИРАТЕЛЬ,дальние,смешанные,952008472,0,5
6,29.12.2019 03:03,,142.2,80.8,3-4-3,4-3-3,защитная (25%),суперзащитная (1%),нет,нет,техничная игра,дальние удары,toska2,Forever Juve,дальние,дальние,952008475,2,0
7,29.12.2019 03:03,Зрители: 0,153.1,75.7,3-4-3,3-5-2,суперзащитная (5%),суперзащитная (1%),нет,нет,дальние удары,игра в пас,knyz,Lada T,дальние,дальние,952008476,0,0
8,29.12.2019 03:01,Зрители: 143,58,81.2,3-4-3,2-5-3,нормальная (43%),защитная (22%),нет,нет,техничная игра,дальние удары,zera,mimo,смешанные,дальние,952008478,0,3
9,29.12.2019 03:06,Зрители: 120,51.5,104,3-4-3,4-4-2,нормальная (46%),суперзащитная (19%),нет,нет,игра в пас,игра в пас,локомотив,Cerega time,дальние,смешанные,952008479,0,2
10,29.12.2019 03:02,Зрители: 0,210.6,198.5,3-4-3,3-5-2,защитная (30%),защитная (22%),нет,нет,техничная игра,техничная игра,Чемпион Луны,straniks,дальние,дальние,952008480,1,2
11,29.12.2019 03:03,,215.2,156.9,3-5-2,4-4-2,нормальная (41%),нормальная (42%),нет,нет,дальние удары,игра в пас,saburtalo11,risxva,дальние,дальние,952008481,3,0
12,29.12.2019 03:04,,137.5,127.8,3-5-2,3-5-2,нормальная (41%),суперзащитная (7%),нет,нет,дальние удары,игра в пас,teamPRO,Римский Папа,короткие,короткие,952008483,0,2
13,29.12.2019 03:06,,227,169,3-5-2,3-5-2,защитная (39%),суперзащитная (18%),нет,нет,дальние удары,дальние удары,Томь Сити,dragons_if_ua,смешанные,дальние,952008484,0,1
14,29.12.2019 03:01,,265.9,270.6,3-5-2,3-5-2,защитная (25%),суперзащитная (2%),нет,нет,игра в пас,дальние удары,Tyumen FC,gritsanyuk,дальние,дальние,952008485,0,1
15,29.12.2019 03:02,,168.4,176.5,4-4-2,4-4-2,суперзащитная (17%),суперзащитная (0%),нет,нет,техничная игра,нормальная,Большой Джордж,Пендальф,дальние,дальние,952008486,1,2
16,29.12.2019 03:03,,206.6,129.5,2-5-3,4-3-3,суперзащитная (19%),защитная (22%),нет,нет,дальние удары,дальние удары,The Last,Greece,дальние,смешанные,952008487,3,0
17,29.12.2019 03:06,,196.8,142.1,2-4-4,3-5-2,суперзащитная (0%),защитная (25%),нет,нет,игра в пас,игра в пас,Зенит2015,Ichi_geki,дальние,дальние,952008488,1,0
18,29.12.2019 03:03,Зрители: 0,131.9,165.9,3-5-2,4-4-2,суперзащитная (18%),суперзащитная (2%),нет,нет,нормальная,техничная игра,Кузя21,Алекс_Фил,дальние,короткие,952008489,0,3
19,29.12.2019 03:03,Зрители: 0,119,102.8,4-4-2,4-3-3,суперзащитная (5%),суперзащитная (0%),нет,нет,нормальная,нормальная,ФК Рублево,FC Fructis,дальние,дальние,952008490,3,0
20,29.12.2019 03:05,Зрители: 19707,145.7,100.7,3-4-3,4-3-3,защитная (37%),нормальная (48%),нет,нет,дальние удары,дальние удары,Да-дудайка,FC Gorodeya,смешанные,дальние,952008491,3,1
