,time,viewers,str_on_field_1,str_on_field_2,disposal_1,disposal_2,tactic_1,tactic_2,pressing_1,pressing_2,strategy_1,strategy_2,player_1,player_2,blows_1,blows_2,id_match,score_player_1,score_player_2
0,29.12.2019 05:49,,194.7,187,3-4-3,3-5-2,суперзащитная (5%),суперзащитная (20%),нет,нет,нормальная,дальние удары,BEER,Буревестник 2018,смешанные,дальние,952019224,5,0
1,29.12.2019 05:47,Зрители: 50000,181.1,122.7,4-3-3,3-4-3,суперзащитная (7%),суперзащитная (1%),нет,нет,техничная игра,игра в пас,собиратель,miklin,дальние,дальние,952019225,2,0
2,29.12.2019 05:47,Зрители: 160000,203.2,208.6,3-4-3,3-6-1,защитная (25%),нормальная (42%),нет,нет,техничная игра,дальние удары,Уралец2014,росфан,дальние,дальние,952019226,1,1
3,29.12.2019 05:49,Зрители: 110000,176.5,78.1,3-5-2,4-4-2,суперзащитная (18%),суперзащитная (5%),нет,нет,дальние удары,дальние удары,Новенький,Арес666,дальние,дальние,952019227,2,1
4,29.12.2019 05:46,,112.9,161.5,3-2-5,3-5-2,суперзащитная (16%),суперзащитная (5%),нет,нет,дальние удары,нормальная,ag11211,spectrum,дальние,дальние,952019228,0,3
5,29.12.2019 05:46,Зрители: 55738,86.6,117,4-3-3,3-5-2,суперзащитная (7%),защитная (27%),нет,нет,нормальная,дальние удары,Арлекин,Молодёжь Алтая,дальние,дальние,952019229,0,1
6,29.12.2019 05:48,Зрители: 64742,142.1,300.2,3-5-2,3-4-3,суперзащитная (4%),защитная (27%),нет,нет,дальние удары,дальние удары,Мозгоклюй,Ютланд,дальние,смешанные,952019230,0,8
7,29.12.2019 05:47,,147.8,123.4,3-5-2,2-6-2,защитная (30%),защитная (27%),нет,нет,нормальная,дальние удары,idozep,Сулима,дальние,дальние,952019231,2,0
8,29.12.2019 05:50,,149.3,65,4-4-2,3-5-2,защитная (22%),нормальная (44%),нет,нет,дальние удары,игра в пас,DREMEL,Niko_lay,дальние,короткие,952019232,4,3
9,29.12.2019 05:47,,118.6,111.4,4-4-2,4-3-3,суперзащитная (19%),атакующая (75%),нет,нет,дальние удары,нормальная,Городець,nyiregyhaza,дальние,дальние,952019233,1,4
10,29.12.2019 05:46,Зрители: 125000,123.8,85.6,3-5-2,3-4-3,суперзащитная (13%),суперзащитная (12%),нет,нет,нормальная,нормальная,Kharchenko,Adham,дальние,дальние,952019234,4,1
11,29.12.2019 05:46,Зрители: 30817,131.6,137,4-4-2,4-3-3,суперзащитная (15%),суперзащитная (2%),нет,нет,дальние удары,дальние удары,юкон,D OCTOR,смешанные,дальние,952019235,1,0
12,29.12.2019 05:47,Зрители: 120005,110.9,167,4-4-2,3-3-4,защитная (24%),защитная (33%),нет,нет,техничная игра,дальние удары,sir maestro,123lev321,дальние,дальние,952019236,0,2
13,29.12.2019 05:49,Зрители: 250000,84,146.9,4-4-2,3-4-3,нормальная (48%),суперзащитная (20%),,,игра в пас,нормальная,FC Peski,Foma,дальние,дальние,952019237,1,2
14,29.12.2019 05:47,,123.2,104.4,3-4-3,4-4-2,суперзащитная (9%),суперзащитная (5%),нет,нет,дальние удары,нормальная,slavok_1984,vovrit,дальние,дальние,952019238,1,1
15,29.12.2019 05:50,,142.7,136.8,3-5-2,3-5-2,защитная (38%),атакующая (77%),нет,нет,игра в пас,дальние удары,FCKASKAD,Ленинградцы,дальние,смешанные,952019239,0,0
16,29.12.2019 05:49,Зрители: 45000,195,71.8,3-4-3,4-3-3,суперзащитная (4%),суперзащитная (4%),нет,нет,дальние удары,техничная игра,ЧудоВперьяХ,Ер244424,дальние,дальние,952019240,1,0
17,29.12.2019 05:47,Зрители: 110000,104.8,109.2,3-5-2,3-5-2,суперзащитная (11%),суперзащитная (15%),нет,нет,дальние удары,техничная игра,SENEGAL,dante8,дальние,смешанные,952019241,0,2
18,29.12.2019 05:46,Зрители: 220000,207.2,191.8,3-5-2,2-6-2,защитная (23%),защитная (25%),нет,нет,нормальная,дальние удары,Mamay,Полковник,дальние,дальние,952019242,0,0
19,29.12.2019 05:47,,184.4,121.4,3-5-2,3-4-3,суперзащитная (19%),суперзащитная (3%),нет,нет,нормальная,игра в пас,Malicious dog,фазик,дальние,смешанные,952019243,1,1
20,29.12.2019 05:46,,86.1,96.1,4-4-2,2-3-5,суперзащитная (3%),суперзащитная (6%),нет,нет,дальние удары,игра в пас,полешки,КомандаМечты,дальние,дальние,952019244,3,1
21,29.12.2019 05:47,Зрители: 70000,123.6,143.8,3-5-2,4-3-3,защитная (33%),суперзащитная (2%),нет,нет,нормальная,игра в пас,Noble,фк AAV,дальние,дальние,952019245,0,0
22,29.12.2019 05:50,Зрители: 15000,143.6,113.4,4-3-3,4-4-2,защитная (38%),суперзащитная (8%),нет,нет,дальние удары,техничная игра,CSKA_001,izot2329,дальние,короткие,952019246,1,1
23,29.12.2019 05:46,Зрители: 100,60.7,76.6,3-4-3,4-4-2,суперзащитная (1%),нормальная (50%),,,игра в пас,нормальная,mnbf,Спарринг-Бот,дальние,смешанные,952019247,0,1
24,29.12.2019 05:47,,288.5,121.3,3-4-3,3-5-2,суперзащитная (9%),защитная (31%),нет,нет,техничная игра,нормальная,СПАРТАК M,хутор КОРЖИ,смешанные,дальние,952019251,2,0
25,29.12.2019 05:47,,149.7,236.6,4-4-2,3-5-2,суперзащитная (3%),нормальная (57%),нет,нет,техничная игра,нормальная,Psich,olegmihalych,дальние,смешанные,952019252,1,1
26,29.12.2019 05:46,Зрители: 0,76.6,50.9,4-4-2,3-4-3,нормальная (50%),суперзащитная (5%),,,нормальная,дальние удары,Спарринг-Бот,vbnc,смешанные,дальние,952019253,2,0
27,29.12.2019 05:45,Зрители: 100,77.4,76.6,3-4-3,4-4-2,атакующая (66%),нормальная (50%),,,техничная игра,нормальная,Агронн,Спарринг-Бот,смешанные,смешанные,952019262,1,0
28,29.12.2019 05:50,,NAN,NAN,0-0-0,0-0-0,суперзащитная (%),суперзащитная (%),,,нормальная,нормальная,plenus,Спарринг-Бот,смешанные,смешанные,952019264,0,3
29,29.12.2019 05:48,Зрители: 30000,94.3,117.5,2-5-3,4-4-2,защитная (29%),защитная (38%),нет,нет,игра в пас,нормальная,Сорокооножка,Алекс Юстасу,дальние,дальние,952019265,0,1
30,29.12.2019 05:47,Зрители: 100000,176.8,104.9,3-4-3,3-5-2,суперзащитная (18%),суперзащитная (12%),нет,нет,дальние удары,дальние удары,Range Rover,ФК СТАЛКЕР,дальние,дальние,952019266,1,0
31,29.12.2019 05:46,Зрители: 6050,91.6,76.6,4-4-2,4-4-2,суперзащитная (19%),нормальная (50%),,,дальние удары,нормальная,Томь Томск,Спарринг-Бот,дальние,смешанные,952019268,4,1
32,29.12.2019 05:48,Зрители: 0,229.7,211.9,4-4-2,4-4-2,нормальная (50%),суперзащитная (8%),,,нормальная,техничная игра,Спарринг-Бот,serg6807,смешанные,смешанные,952019269,0,2
33,29.12.2019 05:47,Зрители: 140000,161.3,229.7,3-4-3,4-4-2,суперзащитная (6%),нормальная (50%),,,нормальная,нормальная,ehfktw74-60,Спарринг-Бот,дальние,смешанные,952019270,3,1
34,29.12.2019 05:47,Зрители: 0,229.7,150,4-4-2,3-4-3,нормальная (50%),суперзащитная (11%),,,нормальная,игра в пас,Спарринг-Бот,sergey-max,смешанные,дальние,952019271,0,3
35,29.12.2019 05:47,Зрители: 220000,287.6,229.7,3-5-2,4-4-2,суперзащитная (4%),нормальная (50%),,,техничная игра,нормальная,alekseysvet,Спарринг-Бот,дальние,смешанные,952019272,8,0
36,29.12.2019 05:46,Зрители: 0,229.7,119.8,4-4-2,2-5-3,нормальная (50%),защитная (21%),,,нормальная,дальние удары,Спарринг-Бот,Львица1,смешанные,дальние,952019273,0,2
37,29.12.2019 05:49,Зрители: 127777,181,229.7,3-4-3,4-4-2,нормальная (58%),нормальная (50%),,,дальние удары,нормальная,legion66,Спарринг-Бот,смешанные,смешанные,952019274,5,0
38,29.12.2019 05:46,Зрители: 0,229.7,170.4,4-4-2,3-5-2,нормальная (50%),суперзащитная (14%),,,нормальная,дальние удары,Спарринг-Бот,Супер панда,смешанные,дальние,952019275,0,1
39,29.12.2019 05:46,Зрители: 330000,314.5,229.7,3-4-3,4-4-2,суперзащитная (11%),нормальная (50%),,,дальние удары,нормальная,Tishka,Спарринг-Бот,дальние,смешанные,952019276,7,0
40,29.12.2019 05:46,Зрители: 0,229.7,139.3,4-4-2,3-3-4,нормальная (50%),защитная (37%),,,нормальная,игра в пас,Спарринг-Бот,aristotel,смешанные,короткие,952019277,0,4
41,29.12.2019 05:46,Зрители: 200000,296,229.7,4-4-2,4-4-2,суперзащитная (3%),нормальная (50%),,,нормальная,нормальная,Pathfinder,Спарринг-Бот,дальние,смешанные,952019278,5,0
42,29.12.2019 05:48,Зрители: 0,229.7,264,4-4-2,2-5-3,нормальная (50%),суперзащитная (13%),,,нормальная,техничная игра,Спарринг-Бот,Atom-2015,смешанные,дальние,952019279,0,7
43,29.12.2019 05:46,Зрители: 110000,90.2,229.7,3-4-3,4-4-2,суперзащитная (1%),нормальная (50%),,,дальние удары,нормальная,Raul Garcia ,Спарринг-Бот,дальние,смешанные,952019280,1,0
44,29.12.2019 05:47,Зрители: 0,229.7,140.3,4-4-2,3-4-3,нормальная (50%),суперзащитная (2%),,,нормальная,дальние удары,Спарринг-Бот,Jaeger,смешанные,смешанные,952019281,0,3
45,29.12.2019 05:46,Зрители: 9000,67.6,229.7,3-4-3,4-4-2,защитная (34%),нормальная (50%),,,дальние удары,нормальная,Loko_u-ka,Спарринг-Бот,дальние,смешанные,952019282,0,4
46,29.12.2019 05:47,Зрители: 0,229.7,102.6,4-4-2,3-4-3,нормальная (50%),суперзащитная (11%),,,нормальная,дальние удары,Спарринг-Бот,ФК Металлист,смешанные,дальние,952019283,1,2
47,29.12.2019 05:51,Зрители: 300000,250.5,229.7,4-3-3,4-4-2,суперзащитная (4%),нормальная (50%),,,дальние удары,нормальная,Royksopp2010,Спарринг-Бот,дальние,смешанные,952019284,8,1
48,29.12.2019 05:46,Зрители: 0,229.7,119.2,4-4-2,2-5-3,нормальная (50%),суперзащитная (5%),,,нормальная,техничная игра,Спарринг-Бот,КаЗаХ,смешанные,смешанные,952019285,0,2
49,29.12.2019 05:48,Зрители: 123456,157.7,229.7,2-4-4,4-4-2,суперзащитная (2%),нормальная (50%),,,нормальная,нормальная,Italy2009,Спарринг-Бот,смешанные,смешанные,952019286,1,0
50,29.12.2019 05:47,Зрители: 0,229.7,156.7,4-4-2,3-5-2,нормальная (50%),нормальная (50%),,,нормальная,нормальная,Спарринг-Бот,vladimir-dronov,смешанные,смешанные,952019287,0,2
51,29.12.2019 05:48,Зрители: 110000,196.6,229.7,2-5-3,4-4-2,суперзащитная (15%),нормальная (50%),,,нормальная,нормальная,АЛЛОЧКА,Спарринг-Бот,дальние,смешанные,952019288,4,1
52,29.12.2019 05:46,Зрители: 0,229.7,128.1,4-4-2,2-6-2,нормальная (50%),защитная (25%),,,нормальная,техничная игра,Спарринг-Бот,aleksal007,смешанные,дальние,952019289,0,2
53,29.12.2019 05:47,Зрители: 115000,137,229.7,4-4-2,4-4-2,нормальная (46%),нормальная (50%),,,игра в пас,нормальная,bull1972,Спарринг-Бот,дальние,смешанные,952019290,1,1
