,time,viewers,str_on_field_1,str_on_field_2,disposal_1,disposal_2,tactic_1,tactic_2,pressing_1,pressing_2,strategy_1,strategy_2,player_1,player_2,blows_1,blows_2,id_match,score_player_1,score_player_2
0,27.12.2019 23:58,Зрители: 0,114.9,92.8,4-4-2,4-2-4,нормальная (50%),суперзащитная (12%),,,нормальная,нормальная,Спарринг-Бот,Sychev_Vtl,смешанные,дальние,951742665,1,2
1,27.12.2019 23:58,Зрители: 0,114.9,85.9,4-4-2,4-4-2,нормальная (50%),суперзащитная (0%),,,нормальная,дальние удары,Спарринг-Бот,FC Kaiserslautern,смешанные,дальние,951742666,1,2
