,time,viewers,str_on_field_1,str_on_field_2,disposal_1,disposal_2,tactic_1,tactic_2,pressing_1,pressing_2,strategy_1,strategy_2,player_1,player_2,blows_1,blows_2,id_match,score_player_1,score_player_2
0,29.12.2019 00:20,Зрители: 0,358,102.6,3-4-3,3-5-2,защитная (21%),суперзащитная (11%),нет,нет,техничная игра,дальние удары,UnderGround Devil,SENEGAL,дальние,дальние,951986087,2,0
1,29.12.2019 00:21,,NAN,NAN,3-5-2,0-0-0,суперзащитная (11%),суперзащитная (%),нет,,техничная игра,нормальная,мистер34,sinelnikov1978,смешанные,смешанные,951986088,3,0
2,29.12.2019 00:17,,93,110.1,3-5-2,4-3-3,суперзащитная (9%),защитная (27%),нет,нет,дальние удары,нормальная,Эрик Картман,vladimir-dronov,смешанные,короткие,951986089,0,0
3,29.12.2019 00:18,,212.8,139.9,3-5-2,2-5-3,суперзащитная (3%),суперзащитная (19%),нет,нет,техничная игра,дальние удары,kerj sania,DUdosUnited,дальние,дальние,951986090,3,0
4,29.12.2019 00:19,,182.1,148.9,3-5-2,4-3-3,суперзащитная (11%),защитная (24%),нет,нет,дальние удары,дальние удары,Cepera1,VitSPb,дальние,дальние,951986091,1,4
5,29.12.2019 00:22,,127.7,132.5,4-3-3,2-5-3,суперзащитная (19%),защитная (25%),нет,нет,дальние удары,дальние удары,FC Polissya,Mendeleev,дальние,смешанные,951986092,1,1
6,29.12.2019 00:18,,116.9,145.3,2-5-3,3-5-2,защитная (29%),суперзащитная (13%),нет,нет,игра в пас,игра в пас,АЛЕКСАНЧЕС,WTP,смешанные,дальние,951986093,0,0
7,29.12.2019 00:20,,154.5,130.4,4-4-2,3-5-2,суперзащитная (6%),суперзащитная (12%),нет,нет,дальние удары,дальние удары,lixobor,FK_KOTELVA,дальние,дальние,951986094,2,1
8,29.12.2019 00:18,,135.8,110.2,4-4-2,2-5-3,защитная (30%),суперзащитная (5%),нет,нет,игра в пас,игра в пас,generral,Trop1kmix,дальние,дальние,951986095,0,0
9,29.12.2019 00:20,,245.6,112.7,3-5-2,4-3-3,защитная (36%),суперзащитная (11%),нет,нет,техничная игра,техничная игра,mix30,The_punisher,смешанные,дальние,951986096,5,1
10,29.12.2019 00:19,Зрители: 115500,186.9,116.8,3-4-3,3-3-4,защитная (37%),защитная (25%),нет,нет,игра в пас,нормальная,kamelija,TAK 96,дальние,дальние,951986097,6,0
11,29.12.2019 00:18,Зрители: 0,155.8,167.4,3-5-2,2-6-2,атакующая (72%),защитная (23%),нет,нет,дальние удары,нормальная,Nikolass,souz-viktan,смешанные,дальние,951986098,1,0
12,29.12.2019 00:17,Зрители: 149838,160.3,191.5,4-4-2,4-4-2,защитная (23%),нормальная (50%),,,дальние удары,нормальная,Юра-2000,Спарринг-Бот,дальние,смешанные,951986099,2,0
13,29.12.2019 00:17,Зрители: 86589,121.7,191.5,4-3-3,4-4-2,суперзащитная (7%),нормальная (50%),,,нормальная,нормальная,Арлекин,Спарринг-Бот,дальние,смешанные,951986100,1,0
14,29.12.2019 00:17,,151.9,193.3,4-4-2,3-5-2,защитная (27%),суперзащитная (19%),нет,нет,дальние удары,дальние удары,Spartak26rus,ANDRY,дальние,дальние,951986101,0,1
15,29.12.2019 00:18,,191.7,132.7,3-5-2,3-4-3,суперзащитная (20%),защитная (25%),нет,нет,техничная игра,игра в пас,ignat,Earthquake,дальние,дальние,951986102,0,0
16,29.12.2019 00:17,,135.1,147.8,3-5-2,3-5-2,суперзащитная (15%),суперзащитная (17%),нет,нет,дальние удары,техничная игра,zhelez,ALRI,дальние,смешанные,951986103,0,0
17,29.12.2019 00:19,Зрители: 29119,90.8,98,4-4-2,3-5-2,атакующая (76%),нормальная (49%),нет,нет,нормальная,нормальная,фк днистер,Alexx999,смешанные,дальние,951986104,3,1
18,29.12.2019 00:22,Зрители: 0,115.6,153.2,3-5-2,4-4-2,суперзащитная (7%),нормальная (50%),,,дальние удары,нормальная,ФК Сюдой_Тудой,Спарринг-Бот,смешанные,смешанные,951986105,3,1
19,29.12.2019 00:20,Зрители: 20000,171.4,143.5,3-4-3,3-5-2,суперзащитная (5%),нормальная (50%),нет,нет,игра в пас,дальние удары,Punisher,Genius,смешанные,дальние,951986106,2,0
20,29.12.2019 00:22,Зрители: 0,127.9,83.9,3-3-4,3-4-3,суперзащитная (10%),нормальная (42%),нет,нет,игра в пас,техничная игра,Трибуна А,ФК СамСамыч,смешанные,смешанные,951986107,2,0
21,29.12.2019 00:22,,263.4,247.6,3-4-3,4-3-3,защитная (35%),суперзащитная (19%),нет,нет,техничная игра,игра в пас,Эди,Томь Сити,дальние,дальние,951986108,6,3
22,29.12.2019 00:20,Зрители: 0,127.5,96.1,4-4-2,3-4-3,защитная (33%),суперзащитная (17%),нет,нет,техничная игра,игра в пас,Victor_Ural,Дракооны,дальние,дальние,951986110,2,0
23,29.12.2019 00:22,Зрители: 65000,108.4,153.2,4-4-2,4-4-2,суперзащитная (14%),нормальная (50%),,,дальние удары,нормальная,Ежик на_скутере,Спарринг-Бот,дальние,смешанные,951986111,0,1
24,29.12.2019 00:22,,NAN,NAN,3-4-3,0-0-0,суперзащитная (19%),суперзащитная (%),нет,,нормальная,нормальная,Лацио2017,dimeedrol,дальние,смешанные,951986112,3,0
25,29.12.2019 00:22,Зрители: 0,274.5,172.6,3-4-3,3-5-2,суперзащитная (4%),защитная (22%),нет,нет,нормальная,дальние удары,tyta,Сказочник1,дальние,дальние,951986113,2,0
26,29.12.2019 00:17,,172.3,95.4,3-5-2,4-3-3,суперзащитная (6%),защитная (30%),нет,нет,нормальная,дальние удары,Хранитель,ФК Дегустатор,дальние,дальние,951986114,2,0
27,29.12.2019 00:19,,182.6,172.8,4-4-2,3-5-2,защитная (28%),защитная (31%),нет,нет,дальние удары,нормальная,Гамма излучение,БУРКИНО-ФАССО,смешанные,дальние,951986115,1,0
