,time,viewers,str_on_field_1,str_on_field_2,disposal_1,disposal_2,tactic_1,tactic_2,pressing_1,pressing_2,strategy_1,strategy_2,player_1,player_2,blows_1,blows_2,id_match,score_player_1,score_player_2
0,28.12.2019 22:12,,117.8,175.6,3-5-2,3-5-2,суперзащитная (13%),нормальная (49%),нет,нет,нормальная,игра в пас,malek,CSKA_001,смешанные,дальние,951962080,1,0
1,28.12.2019 22:08,,138.4,171.7,3-4-3,4-4-2,нормальная (43%),суператакующая (83%),нет,нет,дальние удары,дальние удары,ПОСЕЙДОН,dk,дальние,дальние,951962081,4,2
2,28.12.2019 22:08,,252.7,243.8,3-5-2,4-4-2,суперзащитная (3%),суперзащитная (4%),нет,нет,дальние удары,техничная игра,Бойся,Калинка,дальние,смешанные,951962083,3,0
3,28.12.2019 22:08,,361.2,326.5,3-4-3,2-5-3,суперзащитная (9%),суперзащитная (16%),нет,нет,нормальная,нормальная,КБ-Барвиха,mr_Red wings,дальние,дальние,951962084,1,0
4,28.12.2019 22:12,,155.5,263.7,2-5-3,4-4-2,суперзащитная (11%),защитная (29%),нет,нет,техничная игра,техничная игра,АЛЕКСАНЧЕС,tyta,дальние,смешанные,951962085,0,0
5,28.12.2019 22:12,,263.3,147.9,3-4-3,2-5-3,нормальная (46%),суперзащитная (13%),нет,нет,игра в пас,игра в пас,zska-olsberg,просто,дальние,дальние,951962086,0,1
6,28.12.2019 22:08,Зрители: 58008,201.8,130.5,3-5-2,3-5-2,суперзащитная (3%),суперзащитная (11%),нет,нет,дальние удары,техничная игра,FC Lokomotiv2018,Малая,дальние,дальние,951962087,2,0
7,28.12.2019 22:09,,200,205.8,4-3-3,3-5-2,суперзащитная (20%),защитная (27%),нет,нет,дальние удары,техничная игра,BEER,Klasik,дальние,дальние,951962089,0,5
8,28.12.2019 22:08,Зрители: 0,91.5,150.2,3-4-3,3-4-3,суперзащитная (19%),суперзащитная (19%),нет,нет,нормальная,дальние удары,naxapb-Tpaxapb,Sochi FC,дальние,смешанные,951962090,2,2
9,28.12.2019 22:08,Зрители: 0,153.2,124,4-4-2,2-5-3,нормальная (50%),нормальная (47%),,,нормальная,дальние удары,Спарринг-Бот,Glinomess,смешанные,дальние,951962092,1,3
10,28.12.2019 22:08,Зрители: 0,153.2,142.5,4-4-2,3-4-3,нормальная (50%),нормальная (60%),,,нормальная,дальние удары,Спарринг-Бот,наутилус 1971,смешанные,смешанные,951962093,1,2
11,28.12.2019 22:09,,109.8,103.9,3-5-2,2-6-2,защитная (34%),суперзащитная (9%),нет,нет,техничная игра,игра в пас,ЭФИОП,NAVOI,дальние,дальние,951962095,3,0
12,28.12.2019 22:10,Зрители: 0,76.6,86.6,4-4-2,3-4-3,нормальная (50%),защитная (37%),,,нормальная,дальние удары,Спарринг-Бот,Yanosh96,смешанные,дальние,951962096,0,2
13,28.12.2019 22:09,Зрители: 1375,110.8,116.6,4-4-2,3-5-2,нормальная (44%),суперзащитная (9%),нет,нет,игра в пас,дальние удары,Тюменская команда,Табун Ежей,смешанные,дальние,951962104,1,1
14,28.12.2019 22:11,,112,197.1,3-5-2,3-4-3,защитная (35%),защитная (28%),нет,нет,техничная игра,техничная игра,11Голеодор11,novikovV81,дальние,смешанные,951962106,0,1
15,28.12.2019 22:12,,205.4,140.4,4-3-3,4-4-2,суперзащитная (3%),суперзащитная (17%),нет,нет,игра в пас,игра в пас,МУП АГЭТ,teampost,дальние,смешанные,951962107,3,0
16,28.12.2019 22:09,Зрители: 0,240.9,160.9,3-4-3,3-5-2,защитная (21%),защитная (35%),нет,нет,нормальная,дальние удары,FC ZSI,Regent CF,дальние,смешанные,951962108,0,0
17,28.12.2019 22:10,Зрители: 13297,129.8,153.2,5-4-1,4-4-2,защитная (36%),нормальная (50%),,,нормальная,нормальная,Kubanec,Спарринг-Бот,дальние,смешанные,951962110,6,2
18,28.12.2019 22:10,Зрители: 0,82.4,153.2,2-5-3,4-4-2,суперзащитная (6%),нормальная (50%),,,игра в пас,нормальная,Slasteena,Спарринг-Бот,дальние,смешанные,951962111,2,0
19,28.12.2019 22:08,Зрители: 9086,94.8,98.1,4-3-3,3-4-3,суперзащитная (8%),суперзащитная (7%),нет,нет,дальние удары,дальние удары,SOKOL SEVERODVINSK,sokol saratovvvv,дальние,дальние,951962112,1,2
20,28.12.2019 22:12,,214.8,109.4,3-4-3,3-4-3,суперзащитная (8%),суперзащитная (7%),нет,нет,дальние удары,дальние удары,Эльмаш,ФКК ПЛАМЯ,дальние,дальние,951962113,3,0
21,28.12.2019 22:13,,168.6,142.1,3-5-2,3-5-2,суперзащитная (5%),защитная (21%),нет,нет,игра в пас,игра в пас,Грань ГХ,ФК АСТАНА1981,дальние,дальние,951962114,2,1
22,28.12.2019 22:12,,173.7,203.7,3-5-2,4-3-3,нормальная (45%),суперзащитная (13%),нет,нет,нормальная,нормальная,1ennon,PetS11,короткие,дальние,951962115,0,4
23,28.12.2019 22:10,,185,150.6,3-4-3,3-5-2,защитная (31%),суперзащитная (1%),нет,нет,игра в пас,игра в пас,ZARYA 1967,dexy,дальние,дальние,951962116,0,3
24,28.12.2019 22:10,,106.2,246.5,3-5-2,3-4-3,суперзащитная (5%),суперзащитная (12%),нет,нет,дальние удары,дальние удары,Беларус,runnerup,дальние,дальние,951962117,0,2
25,28.12.2019 22:10,,65.5,127.2,3-5-2,3-5-2,суперзащитная (1%),защитная (33%),нет,нет,дальние удары,дальние удары,LOKOMOTIV-RULEZZ,KRISTALIS,смешанные,дальние,951962118,0,3
26,28.12.2019 22:13,Зрители: 0,39,113.7,4-3-3,4-3-3,суперзащитная (5%),суперзащитная (17%),нет,нет,техничная игра,игра в пас,Chernigov,ФК Калининец,дальние,дальние,951962120,0,0
27,28.12.2019 22:08,Зрители: 49988,116.8,104.3,3-5-2,4-4-2,суперзащитная (11%),суперзащитная (1%),нет,нет,нормальная,дальние удары,Dgikar,Спаринг-Бог,дальние,дальние,951962121,0,4
28,28.12.2019 22:08,Зрители: 0,153.2,176.7,4-4-2,4-3-3,нормальная (50%),защитная (33%),,,нормальная,дальние удары,Спарринг-Бот,Вендетта,смешанные,дальние,951962122,0,1
29,28.12.2019 22:09,,203.3,273.2,2-5-3,3-4-3,защитная (21%),суперзащитная (4%),нет,нет,дальние удары,техничная игра,Cristall,Хмырь1979,дальние,дальние,951962124,0,0
30,28.12.2019 22:10,,115.6,159.9,3-5-2,4-3-3,защитная (29%),суперзащитная (8%),нет,нет,игра в пас,нормальная,Volars73,PrettyReckless,смешанные,дальние,951962125,0,4
31,28.12.2019 22:10,,128.5,109.1,4-3-3,3-2-5,нормальная (48%),суперзащитная (11%),нет,нет,техничная игра,техничная игра,ZA VDV,Священый Бррр12,дальние,дальние,951962126,1,2
32,28.12.2019 22:13,Зрители: 31438,146.7,117.2,3-5-2,3-5-2,защитная (30%),нормальная (50%),нет,нет,дальние удары,игра в пас,evgen010585,ФК КРЕАТИВЩИК,короткие,дальние,951962128,0,1
33,28.12.2019 22:08,Зрители: 0,229.7,150.5,4-4-2,3-5-2,нормальная (50%),суперзащитная (18%),,,нормальная,нормальная,Спарринг-Бот,miner1977,смешанные,дальние,951962129,0,2
34,28.12.2019 22:11,Зрители: 0,229.7,246.8,4-4-2,3-4-3,нормальная (50%),суперзащитная (13%),,,нормальная,нормальная,Спарринг-Бот,жемчужина69,смешанные,дальние,951962130,0,5
35,28.12.2019 22:08,,229.5,192.8,3-5-2,3-4-3,нормальная (43%),защитная (31%),нет,нет,дальние удары,дальние удары,росфан,ФК_Зауралье,дальние,дальние,951962131,2,3
