,time,viewers,str_on_field_1,str_on_field_2,disposal_1,disposal_2,tactic_1,tactic_2,pressing_1,pressing_2,strategy_1,strategy_2,player_1,player_2,blows_1,blows_2,id_match,score_player_1,score_player_2
0,29.12.2019 04:20,,138.7,124.9,2-6-2,3-5-2,защитная (32%),суперзащитная (12%),нет,нет,игра в пас,дальние удары,Ichi_geki,Ruqiyam,дальние,дальние,952015395,2,0
1,29.12.2019 04:18,Зрители: 44222,116.9,110.9,4-4-2,3-4-3,суперзащитная (20%),суперзащитная (5%),нет,нет,игра в пас,игра в пас,юкон,ПареньСоДвора,дальние,дальние,952015396,4,3
2,29.12.2019 04:17,Зрители: 0,119.4,163.6,3-5-2,5-3-2,суперзащитная (3%),суперзащитная (2%),нет,нет,игра в пас,дальние удары,сизо,birya,дальние,дальние,952015397,1,0
3,29.12.2019 04:16,,153.5,110.2,3-5-2,3-5-2,защитная (22%),суперзащитная (1%),нет,нет,нормальная,дальние удары,DreamTeam13,Panamericano,дальние,дальние,952015398,2,1
4,29.12.2019 04:16,,155.3,147.7,3-5-2,3-4-3,суперзащитная (14%),защитная (37%),нет,нет,техничная игра,дальние удары,Simon-13,ДиМАсиК,дальние,дальние,952015399,0,4
5,29.12.2019 04:17,Зрители: 0,178.3,152.9,2-6-2,2-6-2,суперзащитная (19%),суперзащитная (12%),нет,нет,дальние удары,игра в пас,Полковник,Аттила,дальние,дальние,952015400,0,0
6,29.12.2019 04:20,,203.4,102,3-4-3,4-4-2,суперзащитная (6%),суперзащитная (10%),нет,нет,дальние удары,техничная игра,Шобла,izot2329,дальние,короткие,952015401,5,0
7,29.12.2019 04:17,Зрители: 502,34.5,76.6,4-2-4,4-4-2,суператакующая (100%),нормальная (50%),,,техничная игра,нормальная,Луч Старореченское,Спарринг-Бот,смешанные,смешанные,952015402,0,3
8,29.12.2019 04:16,Зрители: 0,76.6,73.1,4-4-2,3-5-2,нормальная (50%),суперзащитная (3%),,,нормальная,игра в пас,Спарринг-Бот,protit,смешанные,дальние,952015405,0,1
9,29.12.2019 04:17,Зрители: 100,67.5,76.6,5-3-2,4-4-2,суперзащитная (0%),нормальная (50%),,,игра в пас,нормальная,Enisey,Спарринг-Бот,смешанные,смешанные,952015406,1,0
10,29.12.2019 04:16,Зрители: 0,76.6,54.4,4-4-2,3-4-3,нормальная (50%),защитная (21%),,,нормальная,игра в пас,Спарринг-Бот,vbnc,смешанные,дальние,952015410,1,1
11,29.12.2019 04:16,Зрители: 0,76.6,56.2,4-4-2,3-4-3,нормальная (50%),суперзащитная (1%),,,нормальная,техничная игра,Спарринг-Бот,gfd,смешанные,дальние,952015413,0,0
12,29.12.2019 04:15,Зрители: 0,76.6,83.5,4-4-2,2-5-3,нормальная (50%),атакующая (68%),,,нормальная,игра в пас,Спарринг-Бот,PITBULL,смешанные,дальние,952015414,0,5
13,29.12.2019 04:16,Зрители: 0,40.2,131.3,4-3-3,3-4-3,нормальная (48%),суперзащитная (18%),нет,нет,техничная игра,дальние удары,локомотив,maxpaynson777,дальние,дальние,952015418,0,6
14,29.12.2019 04:20,Зрители: 0,83.3,71.8,3-5-2,3-5-2,нормальная (42%),защитная (39%),нет,нет,нормальная,дальние удары,ФК СамСамыч,zera,смешанные,смешанные,952015419,1,1
15,29.12.2019 04:18,Зрители: 0,78.2,82.1,4-3-3,2-6-2,защитная (37%),суперзащитная (6%),нет,нет,дальние удары,нормальная,Shagadam,Лестер,дальние,дальние,952015420,2,1
