,time,viewers,str_on_field_1,str_on_field_2,disposal_1,disposal_2,tactic_1,tactic_2,pressing_1,pressing_2,strategy_1,strategy_2,player_1,player_2,blows_1,blows_2,id_match,score_player_1,score_player_2
0,29.12.2019 09:27,Зрители: 15038,82.6,191.5,3-4-3,4-4-2,суперзащитная (17%),нормальная (50%),,,дальние удары,нормальная,Direktor,Спарринг-Бот,дальние,смешанные,952048778,0,1
1,29.12.2019 09:28,,181.3,149.4,3-5-2,3-4-3,суперзащитная (1%),суперзащитная (7%),нет,нет,нормальная,дальние удары,Натаха-камрадка,Капец всем,дальние,дальние,952048780,0,0
2,29.12.2019 09:30,,144,166.7,3-4-3,4-3-3,суперзащитная (11%),нормальная (60%),нет,нет,техничная игра,нормальная,Salyut-AS,TANUNAX,дальние,дальние,952048781,2,1
3,29.12.2019 09:29,,96.5,133,3-5-2,3-4-3,защитная (33%),защитная (31%),нет,нет,нормальная,нормальная,mr_tambov,ribak,дальние,дальние,952048782,2,3
4,29.12.2019 09:29,,321.5,113.5,3-4-3,3-5-2,суперзащитная (5%),суперзащитная (12%),нет,нет,игра в пас,игра в пас,Sashko,ManchesterUn 2011,дальние,дальние,952048784,5,0
5,29.12.2019 09:27,Зрители: 0,229.7,174.9,4-4-2,3-4-3,нормальная (50%),суперзащитная (7%),,,нормальная,дальние удары,Спарринг-Бот,Аквариум,смешанные,дальние,952048785,0,2
6,29.12.2019 09:28,Зрители: 120000,114.3,115.6,3-5-2,4-4-2,суперзащитная (15%),суперзащитная (20%),нет,нет,игра в пас,дальние удары,мистер34,всемспать,дальние,дальние,952048786,0,0
7,29.12.2019 09:29,,97.5,181.4,3-4-3,3-4-3,суперзащитная (11%),суперзащитная (1%),нет,нет,нормальная,нормальная,Adham,belya1977,дальние,дальние,952048789,0,1
8,29.12.2019 09:27,Зрители: 0,191.5,69.5,4-4-2,4-3-3,нормальная (50%),суперзащитная (10%),,,нормальная,техничная игра,Спарринг-Бот,Ер244424,смешанные,дальние,952048790,0,1
9,29.12.2019 09:27,Зрители: 0,191.5,154.7,4-4-2,3-4-3,нормальная (50%),нормальная (43%),,,нормальная,нормальная,Спарринг-Бот,ДиМАсиК,смешанные,дальние,952048791,0,2
10,29.12.2019 09:29,Зрители: 10000,136.2,134.9,2-6-2,4-3-3,суперзащитная (2%),суперзащитная (16%),нет,нет,техничная игра,игра в пас,Попытка еще,Santa Bremore,смешанные,дальние,952048792,0,1
11,29.12.2019 09:28,Зрители: 367499,189.2,161.5,3-4-3,3-3-4,нормальная (42%),нормальная (43%),нет,нет,техничная игра,дальние удары,математика,длинный32,смешанные,смешанные,952048795,2,0
12,29.12.2019 09:28,,111.1,151.4,3-4-3,4-4-2,суперзащитная (7%),суперзащитная (12%),нет,нет,нормальная,дальние удары,Чебоксары,alexpro17890,дальние,дальние,952048797,0,1
13,29.12.2019 09:31,,150.3,150.9,3-5-2,3-4-3,суперзащитная (3%),суперзащитная (14%),нет,нет,дальние удары,нормальная,mihsa42,DesDiChado,дальние,смешанные,952048798,0,2
14,29.12.2019 09:31,,NAN,NAN,0-0-0,4-3-3,суперзащитная (%),защитная (28%),,нет,нормальная,дальние удары,Po man,cfif2009,смешанные,дальние,952048799,0,3
15,29.12.2019 09:27,Зрители: 242000,181.9,191.5,4-4-2,4-4-2,защитная (25%),нормальная (50%),,,дальние удары,нормальная,123lev321,Спарринг-Бот,дальние,смешанные,952048800,3,0
16,29.12.2019 09:27,Зрители: 44966,87.7,191.5,2-3-5,4-4-2,суперзащитная (7%),нормальная (50%),,,игра в пас,нормальная,Нефтяник2017,Спарринг-Бот,дальние,смешанные,952048801,1,2
17,29.12.2019 09:27,Зрители: 110000,177.4,191.5,3-4-3,4-4-2,суперзащитная (9%),нормальная (50%),,,дальние удары,нормальная,СВАЛТЫГА,Спарринг-Бот,смешанные,смешанные,952048802,4,0
18,29.12.2019 09:26,Зрители: 59951,102.1,191.5,3-5-2,4-4-2,суперзащитная (13%),нормальная (50%),,,игра в пас,нормальная,СаняСаня,Спарринг-Бот,дальние,смешанные,952048803,1,0
19,29.12.2019 09:26,Зрители: 4400,71.7,76.6,4-4-2,4-4-2,атакующая (70%),нормальная (50%),,,нормальная,нормальная,Локомотив Ульяновск,Спарринг-Бот,смешанные,смешанные,952048804,1,0
20,29.12.2019 09:27,Зрители: 0,191.5,107.6,4-4-2,4-3-3,нормальная (50%),защитная (31%),,,нормальная,дальние удары,Спарринг-Бот,Silver02,смешанные,смешанные,952048805,1,1
21,29.12.2019 09:27,Зрители: 0,191.5,94.8,4-4-2,3-4-3,нормальная (50%),защитная (36%),,,нормальная,дальние удары,Спарринг-Бот,LAY1980,смешанные,дальние,952048806,1,2
22,29.12.2019 09:30,,172.4,131.2,3-5-2,3-4-3,суперзащитная (2%),суперзащитная (2%),нет,нет,игра в пас,дальние удары,lupick,FCBayern Munchen,дальние,дальние,952048807,3,0
23,29.12.2019 09:26,Зрители: 0,191.5,171.1,4-4-2,3-5-2,нормальная (50%),нормальная (56%),,,нормальная,игра в пас,Спарринг-Бот,1ennon,смешанные,смешанные,952048809,0,2
24,29.12.2019 09:27,Зрители: 0,191.5,255.8,4-4-2,3-5-2,нормальная (50%),суперзащитная (10%),,,нормальная,нормальная,Спарринг-Бот,Rusty K,смешанные,дальние,952048810,0,7
25,29.12.2019 09:28,,175.2,198.3,4-4-2,2-3-5,суперзащитная (2%),суперзащитная (17%),нет,нет,дальние удары,техничная игра,FC SCORPION,xxBUMER 777xx,дальние,дальние,952048812,0,0
26,29.12.2019 09:29,,129.2,157.7,3-5-2,3-5-2,суперзащитная (20%),защитная (37%),нет,нет,нормальная,техничная игра,Гибер,Пендальф,дальние,дальние,952048813,0,3
27,29.12.2019 09:27,,210.3,144.4,3-4-3,3-4-3,защитная (21%),суперзащитная (13%),нет,нет,техничная игра,дальние удары,Materui,igrok73,дальние,дальние,952048814,4,0
28,29.12.2019 09:27,,204.8,183.6,3-5-2,3-5-2,защитная (23%),суперзащитная (2%),нет,нет,техничная игра,игра в пас,Кот ДаВинчи,Фк Нск-аксвил,дальние,дальние,952048815,0,1
29,29.12.2019 09:28,Зрители: 110000,152,140.1,4-4-2,5-3-2,нормальная (50%),защитная (28%),нет,нет,нормальная,нормальная,alexunited,aristotel,дальние,короткие,952048816,2,3
30,29.12.2019 09:28,Зрители: 0,191.5,120,4-4-2,3-3-4,нормальная (50%),суперзащитная (5%),,,нормальная,техничная игра,Спарринг-Бот,Samara 2018,смешанные,короткие,952048818,0,3
31,29.12.2019 09:28,Зрители: 0,191.5,128.6,4-4-2,2-6-2,нормальная (50%),защитная (29%),,,нормальная,дальние удары,Спарринг-Бот,AFRIKAN,смешанные,дальние,952048819,2,2
32,29.12.2019 09:26,Зрители: 0,76.6,100.3,4-4-2,4-4-2,нормальная (50%),нормальная (50%),,,нормальная,нормальная,Спарринг-Бот,vadja20b,смешанные,смешанные,952048820,1,2
33,29.12.2019 09:28,Зрители: 0,76.6,78.4,4-4-2,4-4-2,нормальная (50%),защитная (25%),,,нормальная,игра в пас,Спарринг-Бот,umbro-nsk,смешанные,дальние,952048823,1,2
34,29.12.2019 09:28,,115.9,63.5,4-3-3,4-4-2,защитная (22%),суперзащитная (17%),нет,нет,нормальная,нормальная,LaMan,Рфс-13,смешанные,дальние,952048825,0,1
35,29.12.2019 09:32,Зрители: 185000,162.9,140.2,4-4-2,4-3-3,суперзащитная (2%),защитная (37%),нет,нет,игра в пас,игра в пас,ФК ДРЮК,Ichi_geki,дальние,смешанные,952048826,0,0
